Indice,Probabilidad,Resultado
69,0.94266754,Exoplaneta
70,0.8611458,Exoplaneta
71,0.9390952,Exoplaneta
72,0.45800722,No exoplaneta
73,0.3672244,No exoplaneta
74,0.76817125,Exoplaneta
75,0.80257297,Exoplaneta
76,0.40165564,No exoplaneta
77,0.8884974,Exoplaneta
78,0.8174118,Exoplaneta
79,0.8085703,Exoplaneta
80,0.75224465,Exoplaneta
81,0.090608805,No exoplaneta
82,0.9446541,Exoplaneta
83,0.83307904,Exoplaneta
84,0.5154951,Exoplaneta
85,0.7375571,Exoplaneta
86,0.9546641,Exoplaneta
87,0.94490194,Exoplaneta
88,0.9345219,Exoplaneta
89,0.9390818,Exoplaneta
90,0.774359,Exoplaneta
91,0.83562934,Exoplaneta
92,0.88933754,Exoplaneta
93,0.8891493,Exoplaneta
94,0.1876844,No exoplaneta
95,0.87690085,Exoplaneta
96,0.42727348,No exoplaneta
97,0.86294067,Exoplaneta
98,0.91976804,Exoplaneta
99,0.90148383,Exoplaneta
100,0.9116197,Exoplaneta
101,0.29829726,No exoplaneta
102,0.89539784,Exoplaneta
103,0.34896627,No exoplaneta
104,0.87511945,Exoplaneta
105,0.9352178,Exoplaneta
106,0.94289947,Exoplaneta
107,0.20125148,No exoplaneta
108,0.94981927,Exoplaneta
109,0.96670604,Exoplaneta
110,0.91172564,Exoplaneta
111,0.8986001,Exoplaneta
112,0.8501534,Exoplaneta
113,0.84361523,Exoplaneta
114,0.8552301,Exoplaneta
115,0.9570015,Exoplaneta
116,0.93920624,Exoplaneta
117,0.960499,Exoplaneta
118,0.38293213,No exoplaneta
119,0.13106182,No exoplaneta
120,0.82666206,Exoplaneta
121,0.959846,Exoplaneta
122,0.8524599,Exoplaneta
123,0.79398876,Exoplaneta
124,0.688971,Exoplaneta
125,0.9436255,Exoplaneta
126,0.93889886,Exoplaneta
127,0.9081208,Exoplaneta
128,0.8316116,Exoplaneta
129,0.5764432,Exoplaneta
130,0.59874475,Exoplaneta
131,0.76304156,Exoplaneta
132,0.95183754,Exoplaneta
133,0.9370362,Exoplaneta
134,0.9365341,Exoplaneta
135,0.7067861,Exoplaneta
136,0.41670802,No exoplaneta
137,0.41658753,No exoplaneta
138,0.8021596,Exoplaneta
139,0.84947264,Exoplaneta
140,0.8476631,Exoplaneta
141,0.80646217,Exoplaneta
142,0.9665823,Exoplaneta
143,0.7390371,Exoplaneta
144,0.9571313,Exoplaneta
145,0.95571077,Exoplaneta
146,0.667316,Exoplaneta
147,0.9615813,Exoplaneta
148,0.95433015,Exoplaneta
149,0.6576587,Exoplaneta
150,0.7809592,Exoplaneta
151,0.82191414,Exoplaneta
152,0.7230941,Exoplaneta
153,0.91257405,Exoplaneta
154,0.7664859,Exoplaneta
155,0.93220127,Exoplaneta
156,0.9396735,Exoplaneta
157,0.9421221,Exoplaneta
158,0.76229405,Exoplaneta
159,0.9462189,Exoplaneta
160,0.70996267,Exoplaneta
161,0.48270923,No exoplaneta
162,0.87146294,Exoplaneta
163,0.62522846,Exoplaneta
164,0.96213305,Exoplaneta
165,0.85923266,Exoplaneta
166,0.90408987,Exoplaneta
167,0.9082316,Exoplaneta
168,0.9532796,Exoplaneta
169,0.95550555,Exoplaneta
170,0.95386374,Exoplaneta
171,0.94599205,Exoplaneta
172,0.50513345,Exoplaneta
173,0.6329525,Exoplaneta
174,0.8773007,Exoplaneta
175,0.8823514,Exoplaneta
176,0.60628957,Exoplaneta
177,0.82163525,Exoplaneta
178,0.7646676,Exoplaneta
179,0.94275504,Exoplaneta
180,0.3648226,No exoplaneta
181,0.6591977,Exoplaneta
182,0.95444167,Exoplaneta
183,0.9558409,Exoplaneta
184,0.92636055,Exoplaneta
185,0.92480075,Exoplaneta
186,0.83846116,Exoplaneta
187,0.6428873,Exoplaneta
188,0.9548581,Exoplaneta
189,0.93717027,Exoplaneta
190,0.9555465,Exoplaneta
191,0.9014911,Exoplaneta
192,0.95396346,Exoplaneta
193,0.932595,Exoplaneta
194,0.96350324,Exoplaneta
195,0.9637774,Exoplaneta
196,0.5667762,Exoplaneta
197,0.90179265,Exoplaneta
198,0.9476034,Exoplaneta
199,0.94646305,Exoplaneta
200,0.9385228,Exoplaneta
201,0.96343994,Exoplaneta
202,0.95915097,Exoplaneta
203,0.8758678,Exoplaneta
204,0.041097235,No exoplaneta
205,0.96276027,Exoplaneta
206,0.9653661,Exoplaneta
207,0.9576243,Exoplaneta
208,0.7041251,Exoplaneta
209,0.747468,Exoplaneta
210,0.96964306,Exoplaneta
211,0.9695924,Exoplaneta
212,0.938114,Exoplaneta
213,0.69314647,Exoplaneta
214,0.7352594,Exoplaneta
215,0.9044652,Exoplaneta
216,0.28621912,No exoplaneta
217,0.6657687,Exoplaneta
218,0.91276205,Exoplaneta
219,0.9648367,Exoplaneta
220,0.92161167,Exoplaneta
221,0.8753712,Exoplaneta
222,0.9513258,Exoplaneta
223,0.94714695,Exoplaneta
224,0.9462634,Exoplaneta
225,0.8460874,Exoplaneta
226,0.501742,Exoplaneta
227,0.92374116,Exoplaneta
228,0.7951104,Exoplaneta
229,0.73681474,Exoplaneta
230,0.8228369,Exoplaneta
231,0.8701271,Exoplaneta
232,0.90033776,Exoplaneta
233,0.7714511,Exoplaneta
234,0.9275196,Exoplaneta
235,0.95082504,Exoplaneta
236,0.95630455,Exoplaneta
237,0.7666973,Exoplaneta
238,0.958274,Exoplaneta
239,0.9536829,Exoplaneta
240,0.8207078,Exoplaneta
241,0.9520398,Exoplaneta
242,0.9503041,Exoplaneta
243,0.9625718,Exoplaneta
244,0.9368937,Exoplaneta
245,0.9529353,Exoplaneta
246,0.93761593,Exoplaneta
247,0.94981515,Exoplaneta
248,0.7816744,Exoplaneta
249,0.7399572,Exoplaneta
250,0.53628576,Exoplaneta
251,0.8355476,Exoplaneta
252,0.723257,Exoplaneta
253,0.39774373,No exoplaneta
254,0.84843934,Exoplaneta
255,0.94283676,Exoplaneta
256,0.9569801,Exoplaneta
257,0.95545053,Exoplaneta
258,0.76133966,Exoplaneta
259,0.95581794,Exoplaneta
260,0.958333,Exoplaneta
261,0.9027307,Exoplaneta
262,0.9455979,Exoplaneta
263,0.9432937,Exoplaneta
264,0.9320621,Exoplaneta
265,0.9488372,Exoplaneta
266,0.9240557,Exoplaneta
267,0.6897105,Exoplaneta
268,0.044636086,No exoplaneta
269,0.89989054,Exoplaneta
270,0.8976292,Exoplaneta
271,0.66906184,Exoplaneta
272,0.42350078,No exoplaneta
273,0.6738643,Exoplaneta
274,0.6899343,Exoplaneta
275,0.87165487,Exoplaneta
276,0.25345,No exoplaneta
277,0.7516306,Exoplaneta
278,0.2826377,No exoplaneta
279,0.9105501,Exoplaneta
280,0.17706178,No exoplaneta
281,0.8471957,Exoplaneta
282,0.8939488,Exoplaneta
283,0.89681053,Exoplaneta
284,0.8530186,Exoplaneta
285,0.805146,Exoplaneta
286,0.76412374,Exoplaneta
287,0.725638,Exoplaneta
288,0.6979494,Exoplaneta
289,0.28014436,No exoplaneta
290,0.673023,Exoplaneta
291,0.7007943,Exoplaneta
292,0.87398666,Exoplaneta
293,0.9118976,Exoplaneta
294,0.86795455,Exoplaneta
295,0.93209034,Exoplaneta
296,0.9532025,Exoplaneta
297,0.8940217,Exoplaneta
298,0.30626222,No exoplaneta
299,0.9519212,Exoplaneta
300,0.94470245,Exoplaneta
301,0.9472211,Exoplaneta
302,0.88233757,Exoplaneta
303,0.8657595,Exoplaneta
304,0.803039,Exoplaneta
305,0.8738546,Exoplaneta
306,0.96065265,Exoplaneta
307,0.8420028,Exoplaneta
308,0.88269246,Exoplaneta
309,0.87152666,Exoplaneta
310,0.95426375,Exoplaneta
311,0.86598,Exoplaneta
312,0.9394551,Exoplaneta
313,0.5467688,Exoplaneta
314,0.63132006,Exoplaneta
315,0.05748403,No exoplaneta
316,0.8437118,Exoplaneta
317,0.6169241,Exoplaneta
318,0.9606178,Exoplaneta
319,0.2978313,No exoplaneta
320,0.7372316,Exoplaneta
321,0.6809765,Exoplaneta
322,0.24133097,No exoplaneta
323,0.42497024,No exoplaneta
324,0.5530573,Exoplaneta
325,0.11345614,No exoplaneta
326,0.8758642,Exoplaneta
327,0.1406049,No exoplaneta
328,0.12675159,No exoplaneta
329,0.37634715,No exoplaneta
330,0.63160944,Exoplaneta
331,0.70837617,Exoplaneta
332,0.2955898,No exoplaneta
333,0.21662953,No exoplaneta
334,0.8608605,Exoplaneta
335,0.546496,Exoplaneta
336,0.86257994,Exoplaneta
337,0.9386167,Exoplaneta
338,0.7938937,Exoplaneta
339,0.24479115,No exoplaneta
340,0.8869373,Exoplaneta
341,0.12202396,No exoplaneta
342,0.70056754,Exoplaneta
343,4.2042443e-06,No exoplaneta
344,0.7961486,Exoplaneta
345,0.86266005,Exoplaneta
346,0.61214477,Exoplaneta
347,0.7220941,Exoplaneta
348,0.78633976,Exoplaneta
349,0.69598776,Exoplaneta
350,0.7955859,Exoplaneta
351,0.7951651,Exoplaneta
352,0.3451726,No exoplaneta
353,0.75766134,Exoplaneta
354,0.4130045,No exoplaneta
355,0.92700773,Exoplaneta
356,0.962523,Exoplaneta
357,0.7105618,Exoplaneta
358,0.7956545,Exoplaneta
359,0.80238134,Exoplaneta
360,0.88556236,Exoplaneta
361,0.612184,Exoplaneta
362,0.70210254,Exoplaneta
363,0.7232613,Exoplaneta
364,0.8036987,Exoplaneta
365,0.40709642,No exoplaneta
366,0.6206012,Exoplaneta
367,0.76559263,Exoplaneta
368,0.49257314,No exoplaneta
369,0.6526289,Exoplaneta
370,0.20732692,No exoplaneta
371,0.32222298,No exoplaneta
372,0.0058258898,No exoplaneta
373,0.43187135,No exoplaneta
374,0.6487682,Exoplaneta
375,0.79251236,Exoplaneta
376,0.600116,Exoplaneta
377,0.9198178,Exoplaneta
378,0.86935526,Exoplaneta
379,0.8030025,Exoplaneta
380,0.8679161,Exoplaneta
381,0.84227276,Exoplaneta
382,0.7239866,Exoplaneta
383,0.90844643,Exoplaneta
384,0.8750748,Exoplaneta
385,0.08409686,No exoplaneta
386,0.9280292,Exoplaneta
387,0.7341627,Exoplaneta
388,0.77774495,Exoplaneta
389,0.64668053,Exoplaneta
390,0.3822825,No exoplaneta
391,0.22496462,No exoplaneta
392,0.7942567,Exoplaneta
393,0.3471158,No exoplaneta
394,0.946237,Exoplaneta
395,0.7274399,Exoplaneta
396,0.9617234,Exoplaneta
397,0.89095813,Exoplaneta
398,0.92431206,Exoplaneta
399,0.13679129,No exoplaneta
400,0.1043263,No exoplaneta
401,0.49407107,No exoplaneta
402,0.59190744,Exoplaneta
403,0.08996643,No exoplaneta
404,0.93375164,Exoplaneta
405,0.87916535,Exoplaneta
406,0.8045957,Exoplaneta
407,0.846836,Exoplaneta
408,0.83720315,Exoplaneta
409,0.95112234,Exoplaneta
410,0.91155565,Exoplaneta
411,0.93190414,Exoplaneta
412,0.8496059,Exoplaneta
413,0.9203287,Exoplaneta
414,0.9704396,Exoplaneta
415,0.9559164,Exoplaneta
416,0.62764376,Exoplaneta
417,0.6091162,Exoplaneta
418,0.8734312,Exoplaneta
419,0.06751117,No exoplaneta
420,0.8474862,Exoplaneta
421,0.8607022,Exoplaneta
422,0.82912457,Exoplaneta
423,0.668906,Exoplaneta
424,0.77757967,Exoplaneta
425,0.4192301,No exoplaneta
426,0.8079738,Exoplaneta
427,0.46375415,No exoplaneta
428,0.27370942,No exoplaneta
429,0.22285886,No exoplaneta
430,0.9591845,Exoplaneta
431,0.7602335,Exoplaneta
432,0.86912024,Exoplaneta
433,0.81118345,Exoplaneta
434,0.87870395,Exoplaneta
435,0.8727665,Exoplaneta
436,0.56310457,Exoplaneta
437,0.034523986,No exoplaneta
438,0.9629636,Exoplaneta
439,0.91540015,Exoplaneta
440,0.82048804,Exoplaneta
441,0.7963502,Exoplaneta
442,0.3062489,No exoplaneta
443,0.7129772,Exoplaneta
444,0.47333246,No exoplaneta
445,0.08722263,No exoplaneta
446,0.4265634,No exoplaneta
447,0.39523235,No exoplaneta
448,0.96426344,Exoplaneta
449,0.74167854,Exoplaneta
450,0.6430969,Exoplaneta
451,0.74526167,Exoplaneta
452,0.39788005,No exoplaneta
453,0.5679821,Exoplaneta
454,0.8149321,Exoplaneta
455,0.41929492,No exoplaneta
456,0.9478468,Exoplaneta
457,0.17948881,No exoplaneta
458,0.7146771,Exoplaneta
459,0.9527942,Exoplaneta
460,0.3962228,No exoplaneta
461,0.45252874,No exoplaneta
462,0.22809525,No exoplaneta
463,0.92001444,Exoplaneta
464,0.56445974,Exoplaneta
465,0.65992874,Exoplaneta
466,0.63524485,Exoplaneta
467,0.73855186,Exoplaneta
468,0.9656891,Exoplaneta
469,0.6863905,Exoplaneta
470,0.47471687,No exoplaneta
471,0.8538641,Exoplaneta
472,0.76786554,Exoplaneta
473,0.57415783,Exoplaneta
474,0.4839239,No exoplaneta
475,0.9220733,Exoplaneta
476,0.24613674,No exoplaneta
477,0.82443064,Exoplaneta
478,0.77794635,Exoplaneta
479,0.68210703,Exoplaneta
480,0.56392246,Exoplaneta
481,0.51608044,Exoplaneta
482,0.9615438,Exoplaneta
483,0.9253929,Exoplaneta
484,0.5864217,Exoplaneta
485,0.7515436,Exoplaneta
486,0.95102423,Exoplaneta
487,0.91199756,Exoplaneta
488,0.9346624,Exoplaneta
489,0.8877871,Exoplaneta
490,0.17605117,No exoplaneta
491,0.7935738,Exoplaneta
492,0.97334313,Exoplaneta
493,0.097931124,No exoplaneta
494,0.76022136,Exoplaneta
495,0.6964378,Exoplaneta
496,0.574781,Exoplaneta
497,0.9352907,Exoplaneta
498,0.1107579,No exoplaneta
499,0.60634726,Exoplaneta
500,0.8956569,Exoplaneta
501,0.1700064,No exoplaneta
502,0.59642094,Exoplaneta
503,0.9528247,Exoplaneta
504,0.7483706,Exoplaneta
505,0.65417016,Exoplaneta
506,0.7862341,Exoplaneta
507,0.5928487,Exoplaneta
508,0.9598343,Exoplaneta
509,0.59658766,Exoplaneta
510,0.7572574,Exoplaneta
511,0.5949256,Exoplaneta
512,0.075577796,No exoplaneta
513,0.07381043,No exoplaneta
514,0.64032954,Exoplaneta
515,0.28204998,No exoplaneta
516,0.9430593,Exoplaneta
517,0.8081363,Exoplaneta
518,0.582503,Exoplaneta
519,0.8253471,Exoplaneta
520,0.33192885,No exoplaneta
521,0.7144259,Exoplaneta
522,0.8265714,Exoplaneta
523,0.8837232,Exoplaneta
524,0.95155066,Exoplaneta
525,0.10776987,No exoplaneta
526,0.73384565,Exoplaneta
527,0.12845339,No exoplaneta
528,0.82299787,Exoplaneta
529,0.73726475,Exoplaneta
530,0.49018008,No exoplaneta
531,0.9496524,Exoplaneta
532,0.94134283,Exoplaneta
533,0.9430347,Exoplaneta
534,0.9470017,Exoplaneta
535,0.7349301,Exoplaneta
536,0.96862304,Exoplaneta
537,0.3264119,No exoplaneta
538,0.9159707,Exoplaneta
539,0.9340336,Exoplaneta
540,0.7212503,Exoplaneta
541,0.9545453,Exoplaneta
542,0.7280659,Exoplaneta
543,0.7699146,Exoplaneta
544,0.68325627,Exoplaneta
545,0.64438134,Exoplaneta
546,0.21418074,No exoplaneta
547,0.69506586,Exoplaneta
548,0.4982016,No exoplaneta
549,0.92417675,Exoplaneta
550,0.9197035,Exoplaneta
551,0.70457226,Exoplaneta
552,0.14977153,No exoplaneta
553,0.9483565,Exoplaneta
554,0.9405397,Exoplaneta
555,0.8729809,Exoplaneta
556,0.83400506,Exoplaneta
557,0.6541544,Exoplaneta
558,0.59014183,Exoplaneta
559,0.74910873,Exoplaneta
560,0.9605521,Exoplaneta
561,0.95237494,Exoplaneta
562,0.95925915,Exoplaneta
563,0.8759609,Exoplaneta
564,0.740542,Exoplaneta
565,0.79645264,Exoplaneta
566,0.8596289,Exoplaneta
567,0.76723063,Exoplaneta
568,0.96180993,Exoplaneta
569,0.8916707,Exoplaneta
570,0.67393595,Exoplaneta
571,0.8720034,Exoplaneta
572,0.07705456,No exoplaneta
573,0.72360945,Exoplaneta
574,0.7865224,Exoplaneta
575,0.75948834,Exoplaneta
576,0.5804781,Exoplaneta
577,0.9332582,Exoplaneta
578,0.80148494,Exoplaneta
579,0.5732279,Exoplaneta
580,0.8869679,Exoplaneta
581,0.8886515,Exoplaneta
582,0.2505964,No exoplaneta
583,0.39585692,No exoplaneta
584,0.59294295,Exoplaneta
585,0.61202055,Exoplaneta
586,0.75819683,Exoplaneta
587,0.95374304,Exoplaneta
588,0.95302606,Exoplaneta
589,0.95649165,Exoplaneta
590,0.9365666,Exoplaneta
591,0.7323856,Exoplaneta
592,0.80058926,Exoplaneta
593,0.2951522,No exoplaneta
594,0.8257049,Exoplaneta
595,0.81787145,Exoplaneta
596,0.964268,Exoplaneta
597,0.9493814,Exoplaneta
598,0.42066523,No exoplaneta
599,0.8082876,Exoplaneta
600,0.9283141,Exoplaneta
601,0.21010187,No exoplaneta
602,0.28933415,No exoplaneta
603,0.7551052,Exoplaneta
604,0.3718157,No exoplaneta
605,0.70843625,Exoplaneta
606,0.8056005,Exoplaneta
607,0.90006125,Exoplaneta
608,0.9680341,Exoplaneta
609,0.6987805,Exoplaneta
610,0.18256566,No exoplaneta
611,0.73486,Exoplaneta
612,0.711058,Exoplaneta
613,0.79048693,Exoplaneta
614,0.11982166,No exoplaneta
615,0.17199585,No exoplaneta
616,0.84361386,Exoplaneta
617,0.8780465,Exoplaneta
618,0.5375097,Exoplaneta
619,0.9603016,Exoplaneta
620,0.38805962,No exoplaneta
621,0.72583205,Exoplaneta
622,0.6662847,Exoplaneta
623,0.51675314,Exoplaneta
624,0.31869793,No exoplaneta
625,0.95299804,Exoplaneta
626,0.9657678,Exoplaneta
627,0.9516615,Exoplaneta
628,0.9078644,Exoplaneta
629,0.9493497,Exoplaneta
630,0.8179894,Exoplaneta
631,0.6414746,Exoplaneta
632,0.3925751,No exoplaneta
633,0.8696106,Exoplaneta
634,0.67035365,Exoplaneta
635,0.35922492,No exoplaneta
636,0.36088046,No exoplaneta
637,0.38099083,No exoplaneta
638,0.793713,Exoplaneta
639,0.28164107,No exoplaneta
640,0.3586166,No exoplaneta
641,0.69403744,Exoplaneta
642,0.21623679,No exoplaneta
643,0.91627514,Exoplaneta
644,0.7003277,Exoplaneta
645,0.8399434,Exoplaneta
646,0.6244691,Exoplaneta
647,0.96289706,Exoplaneta
648,0.809928,Exoplaneta
649,0.9654308,Exoplaneta
650,0.9189587,Exoplaneta
651,0.7301129,Exoplaneta
652,0.2361565,No exoplaneta
653,0.8107942,Exoplaneta
654,0.8014223,Exoplaneta
655,0.770783,Exoplaneta
656,0.6325215,Exoplaneta
657,0.21534479,No exoplaneta
658,0.59326375,Exoplaneta
659,0.76948965,Exoplaneta
660,0.61262727,Exoplaneta
661,0.37207925,No exoplaneta
662,0.8263739,Exoplaneta
663,0.75566673,Exoplaneta
664,0.23770069,No exoplaneta
665,0.9196006,Exoplaneta
666,0.9000939,Exoplaneta
667,0.4106552,No exoplaneta
668,0.9626319,Exoplaneta
669,0.90584517,Exoplaneta
670,0.9404484,Exoplaneta
671,0.09666193,No exoplaneta
672,0.947188,Exoplaneta
673,0.9085669,Exoplaneta
674,0.8973785,Exoplaneta
675,0.96154785,Exoplaneta
676,0.80194426,Exoplaneta
677,0.9346227,Exoplaneta
678,0.93543,Exoplaneta
679,0.900125,Exoplaneta
680,0.5616384,Exoplaneta
681,0.4917069,No exoplaneta
682,0.9215005,Exoplaneta
683,0.9376983,Exoplaneta
684,0.81730485,Exoplaneta
685,0.88894343,Exoplaneta
686,0.89483094,Exoplaneta
687,0.9464076,Exoplaneta
688,0.75997317,Exoplaneta
689,0.669817,Exoplaneta
690,0.9370439,Exoplaneta
691,0.9460682,Exoplaneta
692,0.9590513,Exoplaneta
693,0.9477895,Exoplaneta
694,0.9523247,Exoplaneta
695,0.9243889,Exoplaneta
696,0.90489125,Exoplaneta
697,0.9496116,Exoplaneta
698,0.7246862,Exoplaneta
699,0.917033,Exoplaneta
700,0.81525546,Exoplaneta
701,0.7331526,Exoplaneta
702,0.90907514,Exoplaneta
703,0.9611511,Exoplaneta
704,0.95455146,Exoplaneta
705,0.92031455,Exoplaneta
706,0.93904656,Exoplaneta
707,0.94386256,Exoplaneta
708,0.90167636,Exoplaneta
709,0.92389214,Exoplaneta
710,0.5456636,Exoplaneta
711,0.8120172,Exoplaneta
712,0.91300154,Exoplaneta
713,0.8640534,Exoplaneta
714,0.77630943,Exoplaneta
715,0.80950195,Exoplaneta
716,0.9547879,Exoplaneta
717,0.8793024,Exoplaneta
718,0.52929354,Exoplaneta
719,0.57870287,Exoplaneta
720,0.054902703,No exoplaneta
721,0.4393582,No exoplaneta
722,0.47477543,No exoplaneta
723,0.9109915,Exoplaneta
724,0.944697,Exoplaneta
725,0.8910624,Exoplaneta
726,0.92511916,Exoplaneta
727,0.3016338,No exoplaneta
728,0.7040592,Exoplaneta
729,0.75300753,Exoplaneta
730,0.9713812,Exoplaneta
731,0.70849633,Exoplaneta
732,0.79262495,Exoplaneta
733,0.09177603,No exoplaneta
734,0.6638767,Exoplaneta
735,0.7259349,Exoplaneta
736,0.79338515,Exoplaneta
737,0.82788444,Exoplaneta
738,0.47031915,No exoplaneta
739,0.63754916,Exoplaneta
740,0.96701884,Exoplaneta
741,0.82237524,Exoplaneta
742,0.69206357,Exoplaneta
743,0.7376211,Exoplaneta
744,0.816698,Exoplaneta
745,0.9048168,Exoplaneta
746,0.8879662,Exoplaneta
747,0.8037099,Exoplaneta
748,0.9576765,Exoplaneta
749,0.45717254,No exoplaneta
750,0.9308825,Exoplaneta
751,0.76762366,Exoplaneta
752,0.40708205,No exoplaneta
753,0.5168978,Exoplaneta
754,0.728453,Exoplaneta
755,0.30217093,No exoplaneta
756,0.7933738,Exoplaneta
757,0.7603412,Exoplaneta
758,0.87621653,Exoplaneta
759,0.60692686,Exoplaneta
760,0.74093866,Exoplaneta
761,0.9539297,Exoplaneta
762,0.6771526,Exoplaneta
763,0.7159423,Exoplaneta
764,0.6998027,Exoplaneta
765,0.89170074,Exoplaneta
766,0.38603252,No exoplaneta
767,0.03487786,No exoplaneta
768,0.8573748,Exoplaneta
769,0.5674526,Exoplaneta
770,0.7916484,Exoplaneta
771,0.8443741,Exoplaneta
772,0.39494905,No exoplaneta
773,0.87367684,Exoplaneta
774,0.91941535,Exoplaneta
775,0.9490284,Exoplaneta
776,0.76242906,Exoplaneta
777,0.81906253,Exoplaneta
778,0.49147642,No exoplaneta
779,0.5376641,Exoplaneta
780,0.16311754,No exoplaneta
781,0.08131318,No exoplaneta
782,0.13804504,No exoplaneta
783,0.84525007,Exoplaneta
784,0.96736854,Exoplaneta
785,0.9179313,Exoplaneta
786,0.9125772,Exoplaneta
787,0.2295994,No exoplaneta
788,0.7163299,Exoplaneta
789,0.50807625,Exoplaneta
790,0.8062101,Exoplaneta
791,0.8908988,Exoplaneta
792,0.83233255,Exoplaneta
793,0.09886951,No exoplaneta
794,0.8050687,Exoplaneta
795,0.9498972,Exoplaneta
796,0.94743454,Exoplaneta
797,0.5314966,Exoplaneta
798,0.41033593,No exoplaneta
799,0.726178,Exoplaneta
800,0.5099282,Exoplaneta
801,0.8272749,Exoplaneta
802,0.12885721,No exoplaneta
803,0.8769067,Exoplaneta
804,0.8468123,Exoplaneta
805,0.526476,Exoplaneta
806,0.9322363,Exoplaneta
807,0.10689386,No exoplaneta
808,0.9208526,Exoplaneta
809,0.7243875,Exoplaneta
810,0.745304,Exoplaneta
811,0.963051,Exoplaneta
812,0.12445462,No exoplaneta
813,0.9075357,Exoplaneta
814,0.9445984,Exoplaneta
815,0.26973352,No exoplaneta
816,0.4189499,No exoplaneta
817,0.40156427,No exoplaneta
818,0.9693954,Exoplaneta
819,0.45994174,No exoplaneta
820,0.28171164,No exoplaneta
821,0.91474783,Exoplaneta
822,0.3121888,No exoplaneta
823,0.7583538,Exoplaneta
824,0.35441554,No exoplaneta
825,0.16536717,No exoplaneta
826,0.4899855,No exoplaneta
827,0.38002527,No exoplaneta
828,0.80663687,Exoplaneta
829,0.96686244,Exoplaneta
830,0.86569375,Exoplaneta
831,0.8416615,Exoplaneta
832,0.5498538,Exoplaneta
833,0.83396137,Exoplaneta
834,0.8959099,Exoplaneta
835,0.8293848,Exoplaneta
836,0.5732094,Exoplaneta
837,0.1607128,No exoplaneta
838,0.935959,Exoplaneta
839,0.2148305,No exoplaneta
840,0.27749723,No exoplaneta
841,0.8021144,Exoplaneta
842,0.65511084,Exoplaneta
843,0.6483402,Exoplaneta
844,0.90422887,Exoplaneta
845,0.5957811,Exoplaneta
846,0.06892997,No exoplaneta
847,0.6789774,Exoplaneta
848,0.6681329,Exoplaneta
849,0.75227916,Exoplaneta
850,0.67864716,Exoplaneta
851,0.93543994,Exoplaneta
852,0.96341956,Exoplaneta
853,0.94577736,Exoplaneta
854,0.5245234,Exoplaneta
855,0.8308743,Exoplaneta
856,0.8403733,Exoplaneta
857,0.6849881,Exoplaneta
858,0.7371262,Exoplaneta
859,0.78382236,Exoplaneta
860,0.8506847,Exoplaneta
861,0.8098566,Exoplaneta
862,0.96904874,Exoplaneta
863,0.9533342,Exoplaneta
864,0.940835,Exoplaneta
865,0.9451242,Exoplaneta
866,0.8425527,Exoplaneta
867,0.5925875,Exoplaneta
868,0.26742902,No exoplaneta
869,0.79092175,Exoplaneta
870,0.35977593,No exoplaneta
871,0.8462559,Exoplaneta
872,0.91541535,Exoplaneta
873,0.9571075,Exoplaneta
874,0.9203122,Exoplaneta
875,0.8119541,Exoplaneta
876,0.78350043,Exoplaneta
